open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1577836800000,7189.43,7190.52,7172.94,7176.26,1037.337,1577837699999,7447960.02135,1560,383.751,2755105.07629,0
1577837700000,7176.22,7179.41,7170.69,7172.36,707.833,1577838599999,5078345.04373,1199,274.610,1970287.07110,0
1577838600000,7172.79,7179.45,7170.61,7174.83,325.246,1577839499999,2333751.74739,447,162.536,1166259.80196,0
1577839500000,7174.51,7179.36,7170.15,7171.55,378.633,1577840399999,2716367.62723,482,175.301,1257718.81418,0
1577840400000,7171.43,7188.77,7171.10,7186.60,555.389,1577841299999,3987948.79696,807,336.827,2418307.45086,0
1577841300000,7186.60,7210,7184.16,7205.90,1332.077,1577842199999,9589472.17181,2264,857.992,6176779.86057,0
1577842200000,7205.89,7225,7201.04,7206.63,1494.201,1577843099999,10778309.39116,2697,845.923,6102754.21162,0
1577843100000,7206.62,7211.42,7200,7210.24,483.371,1577843999999,3482315.64677,867,300.136,2162452.53041,0
1577844000000,7210.38,7217.76,7206.46,7207.30,530.697,1577844899999,3827578.16074,873,227.512,1640855.09948,0
1577844900000,7207.33,7232.99,7207.33,7221.50,1007.359,1577845799999,7275572.08816,1733,635.165,4587198.92088,0
1577845800000,7221.59,7231.11,7221.59,7231.11,768.542,1577846699999,5553913.63761,1075,412.061,2977730.80172,0
1577846700000,7231.10,7239.30,7228,7237.99,921.767,1577847599999,6667746.52070,1439,499.407,3612685.81911,0
1577847600000,7237.41,7239.74,7218.29,7222.55,815.615,1577848499999,5894402.47098,1391,342.057,2471670.39024,0
1577848500000,7222.56,7233.61,7222.56,7233.19,424.105,1577849399999,3065857.14053,752,236.797,1711735.71124,0
1577849400000,7233.08,7238.46,7215.05,7215.37,722.195,1577850299999,5219986.20501,1269,301.608,2180118.46792,0
1577850300000,7215.37,7226.24,7215,7221.65,551.392,1577851199999,3981576.04222,731,364.603,2632694.11903,0
1577851200000,7221.80,7225.41,7213,7215.30,302.668,1577852099999,2185355.36115,538,153.680,1109653.41009,0
1577852100000,7215.30,7218.10,7211.22,7216.74,401.124,1577852999999,2894035.11967,640,209.405,1510829.50513,0
1577853000000,7216.74,7225.07,7216.74,7217,239.420,1577853899999,1729042.24125,389,106.605,769849.94720,0
1577853900000,7217,7223.77,7213.73,7213.86,233.454,1577854799999,1685198.14574,399,117.174,845751.39809,0
1577854800000,7213.86,7224.09,7213.86,7218.27,231.250,1577855699999,1669828.88768,477,122.886,887229.53359,0
1577855700000,7218.56,7218.81,7214.14,7215.97,234.681,1577856599999,1693438.78504,548,104.686,755395.69397,0
1577856600000,7215.76,7219.06,7214,7216.76,169.310,1577857499999,1221856.40376,295,108.651,784119.00265,0
1577857500000,7216.61,7223.16,7215.37,7220.31,292.980,1577858399999,2115266.03040,443,181.171,1307952.90244,0
1577858400000,7220.31,7225,7218.77,7224.67,255.978,1577859299999,1848873.73957,487,172.619,1246802.34184,0
1577859300000,7224.79,7230,7223.91,7229.28,454.434,1577860199999,3284244.55853,829,223.063,1612109.06503,0
1577860200000,7229.21,7229.80,7222.85,7224.84,293.667,1577861099999,2122080.86013,419,147.217,1063881.78551,0
1577861100000,7224.99,7224.99,7217.60,7221,279.478,1577861999999,2018083.97011,516,125.712,907693.01299,0
1577862000000,7220.99,7226.98,7219.90,7226.98,274.118,1577862899999,1979920.13386,386,216.874,1566489.21499,0
1577862900000,7226.26,7227.20,7224.03,7226.76,217.954,1577863799999,1575041.01412,410,122.091,882301.01363,0
1577863800000,7227,7227.20,7195.36,7195.36,1258.696,1577864699999,9072885.02444,2505,412.410,2971757.20075,0
1577864700000,7195.36,7207.71,7193.52,7205.26,599.139,1577865599999,4315544.92930,1017,331.216,2385710.77184,0
